subject,position,reconstruction,mask,region,dcte
sub-003,left,75p,brain,WM,12.36362716164254
sub-003,left,75p,brain,Brain,2.4944893436762903
sub-003,left,95p,brain,CSF,51.33758210464294
sub-003,left,95p,brain,GM,26.659815365406068
sub-003,left,95p,brain,WM,10.909533584411989
sub-003,left,95p,brain,Brain,2.095928585146294
sub-003,right,full,brain,CSF,73.52406238481733
sub-003,right,full,brain,GM,39.022417982049525
sub-003,right,full,brain,WM,15.686749889880389
sub-003,right,full,brain,Brain,3.488747120316067
sub-003,right,50p,brain,CSF,68.09957840888762
sub-003,right,50p,brain,GM,35.69508425953212
sub-003,right,50p,brain,WM,14.316575513656636
sub-003,right,50p,brain,Brain,3.0966418849067447
sub-003,right,75p,brain,CSF,63.87962816416255
sub-003,right,75p,brain,GM,33.38877288483409
sub-003,right,75p,brain,WM,13.41111544285574
sub-003,right,75p,brain,Brain,2.7399099845195303
sub-003,right,95p,brain,CSF,46.30377975961085
sub-003,right,95p,brain,GM,25.13638864709331
sub-003,right,95p,brain,WM,10.101261237352988
sub-003,right,95p,brain,Brain,1.917381078935404
sub-001,none,woBin,eyes,Eyes,24.79202939647281
sub-001,up,full,eyes,Eyes,27.256616986843987
sub-001,up,50p,eyes,Eyes,28.43024450235619
sub-001,up,75p,eyes,Eyes,25.52777152775901
sub-001,up,95p,eyes,Eyes,24.51801371239964
sub-001,down,full,eyes,Eyes,28.27868608292424
sub-001,down,50p,eyes,Eyes,27.58936503544763
sub-001,down,75p,eyes,Eyes,28.481503888511067
sub-001,down,95p,eyes,Eyes,22.66542058044424
sub-001,left,full,eyes,Eyes,28.1948734318916
sub-001,left,50p,eyes,Eyes,28.365133097172173
sub-001,left,75p,eyes,Eyes,30.665160194859663
sub-001,left,95p,eyes,Eyes,25.049800854062443
sub-001,right,full,eyes,Eyes,28.35889801723707
sub-001,right,50p,eyes,Eyes,29.666181726910537
sub-001,right,75p,eyes,Eyes,27.109665497910157
sub-001,right,95p,eyes,Eyes,23.704932694294676
sub-002,none,woBin,eyes,Eyes,24.03078464375637
sub-002,up,full,eyes,Eyes,26.70617883741833
sub-002,up,50p,eyes,Eyes,24.874529778803915
sub-002,up,75p,eyes,Eyes,20.63512602960783
sub-002,up,95p,eyes,Eyes,20.865174750361888
sub-002,down,full,eyes,Eyes,28.562321186525324
sub-002,down,50p,eyes,Eyes,22.125464067808363
sub-002,down,75p,eyes,Eyes,20.24138547947345
sub-002,down,95p,eyes,Eyes,19.32214010138905
sub-002,left,full,eyes,Eyes,25.45800271813353
sub-002,left,50p,eyes,Eyes,23.47701638865364
sub-002,left,75p,eyes,Eyes,20.442284198562557
sub-002,left,95p,eyes,Eyes,21.858765390361736
sub-002,right,full,eyes,Eyes,26.42659655832163
sub-002,right,50p,eyes,Eyes,25.14163897503915
sub-002,right,75p,eyes,Eyes,19.562259036148205
sub-002,right,95p,eyes,Eyes,19.00274780612512
sub-003,none,woBin,eyes,Eyes,24.80511483201819
sub-003,up,full,eyes,Eyes,27.28302435579683
sub-003,up,50p,eyes,Eyes,25.026631844508557
sub-003,up,75p,eyes,Eyes,19.920182336374012
sub-003,up,95p,eyes,Eyes,19.556771725624326
sub-003,down,full,eyes,Eyes,25.44722253411517
sub-003,down,50p,eyes,Eyes,23.17740690186118
sub-003,down,75p,eyes,Eyes,22.082542192691665
sub-003,down,95p,eyes,Eyes,17.035097628558294
sub-003,left,full,eyes,Eyes,24.55122843069567
sub-003,left,50p,eyes,Eyes,22.3803346150199
sub-003,left,75p,eyes,Eyes,20.15837892546147
sub-003,left,95p,eyes,Eyes,17.264333008168926
sub-003,right,full,eyes,Eyes,27.30674909312698
sub-003,right,50p,eyes,Eyes,24.425874962987063
sub-003,right,75p,eyes,Eyes,22.131378925406693
sub-003,right,95p,eyes,Eyes,15.93307063036902
