subject,position,comparison,mask,region,ssim
sub-002,up,75p,eyes,Eyes,0.8338459605581665
sub-002,up,95p,eyes,Eyes,0.7157727006055767
sub-002,up,woBin,eyes,Eyes,0.8878476369521748
sub-002,down,50p,eyes,Eyes,0.882445469878931
sub-002,down,75p,eyes,Eyes,0.8208031930422697
sub-002,down,95p,eyes,Eyes,0.6854199215950569
sub-002,down,woBin,eyes,Eyes,0.8857107768039112
sub-002,left,50p,eyes,Eyes,0.9027275583413358
sub-002,left,75p,eyes,Eyes,0.8358237518414908
sub-002,left,95p,eyes,Eyes,0.7213018007165733
sub-002,left,woBin,eyes,Eyes,0.8829454551347733
sub-002,right,50p,eyes,Eyes,0.9060587207784484
sub-002,right,75p,eyes,Eyes,0.8181417734362709
sub-002,right,95p,eyes,Eyes,0.6854317313636635
sub-002,right,woBin,eyes,Eyes,0.8784343863550146
sub-003,up,50p,eyes,Eyes,0.9416702208972884
sub-003,up,75p,eyes,Eyes,0.8751427047396168
sub-003,up,95p,eyes,Eyes,0.7952546079767484
sub-003,up,woBin,eyes,Eyes,0.9388222774156438
sub-003,down,50p,eyes,Eyes,0.9310241545452388
sub-003,down,75p,eyes,Eyes,0.8897609898964942
sub-003,down,95p,eyes,Eyes,0.7470847907505185
sub-003,down,woBin,eyes,Eyes,0.9153768522625902
sub-003,left,50p,eyes,Eyes,0.936504925019949
sub-003,left,75p,eyes,Eyes,0.8921377991538252
sub-003,left,95p,eyes,Eyes,0.7767922250720611
sub-003,left,woBin,eyes,Eyes,0.9248004633986232
sub-003,right,50p,eyes,Eyes,0.942427922733426
sub-003,right,75p,eyes,Eyes,0.9031008266687124
sub-003,right,95p,eyes,Eyes,0.7528468450679701
sub-003,right,woBin,eyes,Eyes,0.9470152319750166
