position,mask,region,comparison,n_subjects,mean_ssim,std_ssim,median_ssim
right,volume,Brain,50p,0,,,
right,volume,Brain,75p,0,,,
right,volume,Brain,95p,0,,,
right,volume,CSF,woBin,0,,,
right,volume,CSF,50p,0,,,
right,volume,CSF,75p,0,,,
right,volume,CSF,95p,0,,,
right,volume,Eyes,woBin,0,,,
right,volume,Eyes,50p,0,,,
right,volume,Eyes,75p,0,,,
right,volume,Eyes,95p,0,,,
right,volume,GM,woBin,0,,,
right,volume,GM,50p,0,,,
right,volume,GM,75p,0,,,
right,volume,GM,95p,0,,,
right,volume,WM,woBin,0,,,
right,volume,WM,50p,0,,,
right,volume,WM,75p,0,,,
right,volume,WM,95p,0,,,
right,volume,WholeVolume,woBin,3,0.9717452949888057,0.013096819297729278,0.9713341251866866
right,volume,WholeVolume,50p,3,0.9733764154420764,0.00763699221919278,0.9751576780181002
right,volume,WholeVolume,75p,3,0.9427184361378226,0.017912233390499945,0.9433483772529296
right,volume,WholeVolume,95p,3,0.8140560999312653,0.025688043718073775,0.8153758555047591
up,brain,Brain,woBin,3,0.934564662985009,0.019715302710677472,0.9258998133098486
up,brain,Brain,50p,3,0.9335627349529235,0.015094855118453217,0.9265941684441494
up,brain,Brain,75p,3,0.8733483784028461,0.016611449930910897,0.8803151319815092
up,brain,Brain,95p,3,0.8055018362067644,0.03065744527218906,0.8124295427720085
up,brain,CSF,woBin,3,0.9413827073008836,0.01397267896406784,0.9374942836262968
up,brain,CSF,50p,3,0.9380592565903455,0.008647450654981221,0.9361438251994711
up,brain,CSF,75p,3,0.8659582938392218,0.023302180666397467,0.8585796318035228
up,brain,CSF,95p,3,0.7654768904517102,0.03646923700180186,0.7820791856110416
up,brain,Eyes,woBin,0,,,
up,brain,Eyes,50p,0,,,
up,brain,Eyes,75p,0,,,
up,brain,Eyes,95p,0,,,
up,brain,GM,woBin,3,0.930942435784559,0.020652103589656513,0.925240111400831
up,brain,GM,50p,3,0.9294848204203228,0.015091653748363208,0.9254103912450428
up,brain,GM,75p,3,0.8613232456796491,0.023582052036527974,0.8662890439054898
up,brain,GM,95p,3,0.7776449984283356,0.03982076902166731,0.7996024002849517
up,brain,WM,woBin,3,0.946388411543352,0.019443443313541166,0.9402000659505696
up,brain,WM,50p,3,0.9367579983788796,0.017394963556416225,0.9320136375670164
up,brain,WM,75p,3,0.8836743096510263,0.02235817426793503,0.8917467486353635
up,brain,WM,95p,3,0.8403795836192957,0.029946116262053804,0.8562989075355645
up,brain,WholeVolume,woBin,0,,,
up,brain,WholeVolume,50p,0,,,
up,brain,WholeVolume,75p,0,,,
up,brain,WholeVolume,95p,0,,,
up,eyes,Brain,woBin,0,,,
up,eyes,Brain,50p,0,,,
up,eyes,Brain,75p,0,,,
up,eyes,Brain,95p,0,,,
up,eyes,CSF,woBin,0,,,
up,eyes,CSF,50p,0,,,
up,eyes,CSF,75p,0,,,
up,eyes,CSF,95p,0,,,
up,eyes,Eyes,woBin,3,0.8882960597760242,0.05030350527351716,0.8878476369521748
up,eyes,Eyes,50p,3,0.9065263565585294,0.036119244211843204,0.9084038820149796
up,eyes,Eyes,75p,3,0.8378945814876521,0.03539788815511827,0.8338459605581665
up,eyes,Eyes,95p,3,0.7393803407170227,0.048581836322688046,0.7157727006055767
up,eyes,GM,woBin,0,,,
up,eyes,GM,50p,0,,,
up,eyes,GM,75p,0,,,
up,eyes,GM,95p,0,,,
up,eyes,WM,woBin,0,,,
up,eyes,WM,50p,0,,,
up,eyes,WM,75p,0,,,
up,eyes,WM,95p,0,,,
up,eyes,WholeVolume,woBin,0,,,
up,eyes,WholeVolume,50p,0,,,
up,eyes,WholeVolume,75p,0,,,
up,eyes,WholeVolume,95p,0,,,
up,volume,Brain,woBin,0,,,
up,volume,Brain,50p,0,,,
up,volume,Brain,75p,0,,,
up,volume,Brain,95p,0,,,
up,volume,CSF,woBin,0,,,
up,volume,CSF,50p,0,,,
up,volume,CSF,75p,0,,,
up,volume,CSF,95p,0,,,
up,volume,Eyes,woBin,0,,,
up,volume,Eyes,50p,0,,,
up,volume,Eyes,75p,0,,,
up,volume,Eyes,95p,0,,,
up,volume,GM,woBin,0,,,
up,volume,GM,50p,0,,,
up,volume,GM,75p,0,,,
up,volume,GM,95p,0,,,
up,volume,WM,woBin,0,,,
up,volume,WM,50p,0,,,
up,volume,WM,75p,0,,,
up,volume,WM,95p,0,,,
up,volume,WholeVolume,woBin,3,0.9719187325094039,0.012637463094032202,0.973494022629512
up,volume,WholeVolume,50p,3,0.9742748841788158,0.006977926986592741,0.9754125572381556
up,volume,WholeVolume,75p,3,0.9377049261070689,0.009548757983325924,0.939230750804269
up,volume,WholeVolume,95p,3,0.857554118912656,0.02711177979168787,0.8652193997405185
